Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
8000056,RK,Max Gawn,Melbourne,Essendon,15280,92.25,80.67,CONFIRMED IN TEAM TO PLAY
8000066,DEF,Tom McDonald,Melbourne,Essendon,9790,65.75,65.33,CONFIRMED IN TEAM TO PLAY
8000067,MID,Clayton Oliver,Melbourne,Essendon,15230,102.5,108.67,CONFIRMED IN TEAM TO PLAY
8000069,DEF,Christian Salem,Melbourne,Essendon,12730,95,85.33,CONFIRMED IN TEAM TO PLAY
8000074,MID,Jack Viney,Melbourne,Essendon,11430,70.5,66.67,CONFIRMED IN TEAM TO PLAY
8000092,DEF,Dylan Shiel,Essendon,Melbourne,13030,78.67,78.67,CONFIRMED IN TEAM TO PLAY
8000092,MID,Dylan Shiel,Essendon,Melbourne,13030,78.67,78.67,CONFIRMED IN TEAM TO PLAY
8000120,MID,Zach Merrett,Essendon,Melbourne,16950,114,114,CONFIRMED IN TEAM TO PLAY
8000140,DEF,Steven May,Melbourne,Essendon,11330,82,82,CONFIRMED IN TEAM TO PLAY
8000389,FWD,Jade Gresham,Essendon,Melbourne,8320,64.67,64.67,CONFIRMED IN TEAM TO PLAY
8000469,MID,Ed Langdon,Melbourne,Essendon,12410,81,80.33,CONFIRMED IN TEAM TO PLAY
8000555,MID,Christian Petracca,Melbourne,Essendon,14460,85.25,82,CONFIRMED IN TEAM TO PLAY
8000555,FWD,Christian Petracca,Melbourne,Essendon,14460,85.25,82,CONFIRMED IN TEAM TO PLAY
8000575,DEF,Mason Redman,Essendon,Melbourne,12880,80,80,CONFIRMED IN TEAM TO PLAY
8000682,DEF,Ben McKay,Essendon,Melbourne,6000,37,37,CONFIRMED IN TEAM TO PLAY
8000744,RK,Sam Draper,Essendon,Melbourne,10060,71.33,71.33,CONFIRMED IN TEAM TO PLAY
8000744,FWD,Sam Draper,Essendon,Melbourne,10060,71.33,71.33,CONFIRMED IN TEAM TO PLAY
8000751,DEF,Andrew McGrath,Essendon,Melbourne,11710,66.33,66.33,CONFIRMED IN TEAM TO PLAY
8000756,DEF,Jordan Ridley,Essendon,Melbourne,12200,49,49,CONFIRMED IN TEAM TO PLAY
8000799,MID,Will Setterfield,Essendon,Melbourne,11980,0,0,CONFIRMED IN TEAM TO PLAY
8000824,FWD,Jake Melksham,Melbourne,Essendon,6930,38,38,CONFIRMED IN TEAM TO PLAY
8000969,FWD,Bayley Fritsch,Melbourne,Essendon,7560,51.5,52,CONFIRMED IN TEAM TO PLAY
8000970,DEF,Harrison Petty,Melbourne,Essendon,6000,43.75,33,CONFIRMED IN TEAM TO PLAY
8000971,FWD,Charlie Spargo,Melbourne,Essendon,6930,20.5,20.5,CONFIRMED IN TEAM TO PLAY
8001430,MID,Kade Chandler,Melbourne,Essendon,9530,69.75,75,CONFIRMED IN TEAM TO PLAY
8001430,FWD,Kade Chandler,Melbourne,Essendon,9530,69.75,75,CONFIRMED IN TEAM TO PLAY
8001434,MID,Tom Sparrow,Melbourne,Essendon,9230,67.25,57.67,CONFIRMED IN TEAM TO PLAY
8001445,MID,Xavier Duursma,Essendon,Melbourne,13040,87.33,87.33,CONFIRMED IN TEAM TO PLAY
8001505,DEF,Jaxon Prior,Essendon,Melbourne,8230,65,65,CONFIRMED IN TEAM TO PLAY
8001517,RK,Nick Bryan,Essendon,Melbourne,10230,73.33,73.33,CONFIRMED IN TEAM TO PLAY
8001520,MID,Harrison Jones,Essendon,Melbourne,8470,59.33,59.33,CONFIRMED IN TEAM TO PLAY
8001520,FWD,Harrison Jones,Essendon,Melbourne,8470,59.33,59.33,CONFIRMED IN TEAM TO PLAY
8001555,FWD,Kysaiah Pickett,Melbourne,Essendon,10710,87,87,CONFIRMED IN TEAM TO PLAY
8001555,MID,Kysaiah Pickett,Melbourne,Essendon,10710,87,87,CONFIRMED IN TEAM TO PLAY
8001556,DEF,Trent Rivers,Melbourne,Essendon,12090,66,60.33,CONFIRMED IN TEAM TO PLAY
8001556,MID,Trent Rivers,Melbourne,Essendon,12090,66,60.33,CONFIRMED IN TEAM TO PLAY
8001729,FWD,Harry Sharp,Melbourne,Essendon,6000,42.5,41.67,NAMED AS EMERGENCY RESERVE
8001729,MID,Harry Sharp,Melbourne,Essendon,6000,42.5,41.67,NAMED AS EMERGENCY RESERVE
8001747,MID,Archie Perkins,Essendon,Melbourne,8810,74,74,CONFIRMED IN TEAM TO PLAY
8001747,FWD,Archie Perkins,Essendon,Melbourne,8810,74,74,CONFIRMED IN TEAM TO PLAY
8001748,DEF,Zach Reid,Essendon,Melbourne,7820,65.67,65.67,CONFIRMED IN TEAM TO PLAY
8001775,DEF,Jake Bowey,Melbourne,Essendon,11360,88.5,89,CONFIRMED IN TEAM TO PLAY
8001816,MID,Sam Durham,Essendon,Melbourne,13220,76.67,76.67,CONFIRMED IN TEAM TO PLAY
8001845,FWD,Ben Hobbs,Essendon,Melbourne,9580,52.67,52.67,CONFIRMED IN TEAM TO PLAY
8001845,MID,Ben Hobbs,Essendon,Melbourne,9580,52.67,52.67,CONFIRMED IN TEAM TO PLAY
8001847,MID,Nic Martin,Essendon,Melbourne,14700,83.67,83.67,CONFIRMED IN TEAM TO PLAY
8001847,FWD,Nic Martin,Essendon,Melbourne,14700,83.67,83.67,CONFIRMED IN TEAM TO PLAY
8001881,FWD,Jacob van Rooyen,Melbourne,Essendon,7560,40.5,44.33,CONFIRMED IN TEAM TO PLAY
8001881,RK,Jacob van Rooyen,Melbourne,Essendon,7560,40.5,44.33,CONFIRMED IN TEAM TO PLAY
8001951,FWD,Jye Menzie,Essendon,Melbourne,6000,27.5,27.5,CONFIRMED IN TEAM TO PLAY
8002438,FWD,Nate Caddy,Essendon,Melbourne,8260,50.67,50.67,CONFIRMED IN TEAM TO PLAY
8002440,DEF,Archie Roberts,Essendon,Melbourne,12050,79,79,CONFIRMED IN TEAM TO PLAY
8002440,MID,Archie Roberts,Essendon,Melbourne,12050,79,79,CONFIRMED IN TEAM TO PLAY
8002460,DEF,Caleb Windsor,Melbourne,Essendon,8810,53,53,CONFIRMED IN TEAM TO PLAY
8002460,MID,Caleb Windsor,Melbourne,Essendon,8810,53,53,CONFIRMED IN TEAM TO PLAY
8002515,MID,Saad El-Hawli,Essendon,Melbourne,6000,17,17,NAMED AS EMERGENCY RESERVE
8002515,DEF,Saad El-Hawli,Essendon,Melbourne,6000,17,17,NAMED AS EMERGENCY RESERVE
8002545,FWD,Isaac Kako,Essendon,Melbourne,6000,45,45,CONFIRMED IN TEAM TO PLAY
8002565,MID,Harvey Langford,Melbourne,Essendon,6000,42.33,42.33,CONFIRMED IN TEAM TO PLAY
8002566,MID,Xavier Lindsay,Melbourne,Essendon,8160,62,62,CONFIRMED IN TEAM TO PLAY
8002624,FWD,Jack Henderson,Melbourne,Essendon,6000,48.75,49,CONFIRMED IN TEAM TO PLAY
