Player_ID,Name,Team,Opponent,Position1,Position2,Price,Projection,SD,Floor,Ceiling,FPPG,Form,Projected_Ownership,Exposure,MIN,MAX,GPP_Score
8000978,Tristan Xerri,NME,CAR,RK,,15320,104.1,37.44379394,66.7,179.0,89.4,76.0,34,100.0,0,100,160.26569091
8002466,Colby McKercher,NME,CAR,MID,DEF,10960,69.5,27.64890422,41.9,124.8,62.0,59.33,23,100.0,0,100,110.97335633
8000242,Luke Parker,NME,CAR,MID,,12050,79.7,26.52186041,53.2,132.7,85.0,88.33,31,100.0,0,100,119.482790615
8001557,Charlie Comben,NME,CAR,DEF,,7650,55.3,24.33291822,31.0,104.0,49.4,49.0,19,100.0,0,100,91.79937733
8000972,Luke Davies-Uniacke,NME,CAR,MID,,14050,91.7,27.0322243,64.7,145.8,89.0,91.67,31,100.0,0,100,132.24833645
8000832,Nick Larkey,NME,CAR,FWD,,8750,60.6,24.46586561,36.1,109.5,61.6,59.67,13,100.0,0,100,97.298798415
8000282,Caleb Daniel,NME,CAR,DEF,,14060,96.9,23.88932252,73.0,144.7,101.2,100.33,31,100.0,0,100,132.73398378000002
8000099,Zac Williams,CAR,NME,FWD,DEF,9520,64.6,25.80868092,38.8,116.2,52.8,56.0,22,50.0,0,100,103.31302138
8000332,Jack Darling,NME,CAR,FWD,RK,8760,61.2,23.44628406,37.8,108.1,59.6,52.67,23,50.0,0,100,96.36942609
8001578,Dylan Stephens,NME,CAR,MID,,8210,55.8,22.47218227,33.3,100.7,52.25,64.67,20,50.0,0,100,89.508273405
8000945,Lachie Fogarty,CAR,NME,FWD,MID,7290,50.3,20.78433228,29.5,91.9,50.6,56.0,31,50.0,0,100,81.47649842
8000147,Adam Saad,CAR,NME,DEF,,11980,71.9,17.89793439,54.0,107.7,76.0,84.33,17,0.0,0,100,98.746901585
8000764,Griffin Logue,NME,CAR,DEF,,7670,45.7,19.68056726,26.0,85.1,41.0,41.0,5,0.0,0,100,75.22085089000001
8002513,Cooper Lord,CAR,NME,MID,,8810,0.0,25.3034912,-25.3,50.6,55.75,51.0,0,0.0,0,0,37.9552368
8000537,Nick Haynes,CAR,NME,DEF,,11070,67.5,23.65306229,43.8,114.8,67.0,77.67,8,0.0,0,100,102.979593435
8002431,Matthew Carroll,CAR,NME,DEF,,6950,39.2,15.68,23.5,70.6,68.0,68.0,15,0.0,0,100,62.72
8001733,Corey Durdin,CAR,NME,FWD,,7500,41.2,18.06048511,23.1,77.3,78.0,78.0,21,0.0,0,100,68.29072766499999
8000716,Zac Fisher,NME,CAR,DEF,,12130,77.4,22.18980747,55.2,121.8,66.0,66.0,6,0.0,0,100,110.68471120500001
8001781,Tom Powell,NME,CAR,MID,,13520,87.6,23.20733266,64.4,134.0,92.8,81.67,31,0.0,0,100,122.41099899
8000839,Cameron Zurhaar,NME,CAR,FWD,,9990,65.3,20.52784249,44.8,106.4,68.4,51.33,13,0.0,0,100,96.091763735
8002349,Jacob Konstanty,NME,CAR,FWD,,6220,46.5,11.9707978,34.5,70.4,42.6,41.33,9,0.0,0,100,64.45619669999999
8000918,Tom De Koning,CAR,NME,RK,,16140,96.1,26.19126512,69.9,148.5,105.2,95.67,33,0.0,0,100,135.38689768
8000078,Aidan Corr,NME,CAR,DEF,,8280,54.4,19.69251036,34.7,93.8,62.8,56.33,12,0.0,0,100,83.93876553999999
8001378,Matthew Cottrell,CAR,NME,FWD,,9010,57.9,19.43568101,38.5,96.8,67.75,71.0,15,0.0,0,100,87.053521515
8000936,Adam Cerra,CAR,NME,MID,,14640,86.4,26.79843359,59.6,140.0,97.2,96.33,29,0.0,0,100,126.59765038500001
8000190,Luke McDonald,NME,CAR,DEF,,8450,57.2,21.21487632,36.0,99.6,62.6,61.67,14,0.0,0,100,89.02231448
8000503,Darcy Tucker,NME,CAR,DEF,,9400,66.2,22.31547998,43.9,110.8,59.2,74.0,18,0.0,0,100,99.67321997
8000167,Mitch McGovern,CAR,NME,DEF,,10110,65.3,19.62444445,45.7,104.5,63.6,72.67,11,0.0,0,100,94.736666675
8002332,George Wardlaw,NME,CAR,MID,,12050,77.8,20.09117679,57.7,118.0,0.0,0.0,12,0.0,0,100,107.936765185
8001885,Paul Curtis,NME,CAR,FWD,,9880,66.8,18.63836476,48.2,104.1,77.6,69.0,23,0.0,0,100,94.75754714
8000835,Jy Simpkin,NME,CAR,MID,,14030,87.8,27.29001309,60.5,142.4,103.6,104.0,31,0.0,0,100,128.735019635
8000004,Patrick Cripps,CAR,NME,MID,,14170,92.2,25.3274169,66.9,142.9,81.4,72.33,27,0.0,0,100,130.19112535
8001760,Elijah Hollands,CAR,NME,FWD,MID,10250,69.9,21.38822922,48.5,112.7,0.0,0.0,24,0.0,0,100,101.98234383
8002331,Harry Sheezel,NME,CAR,MID,,16150,107.3,22.51936053,84.8,152.3,106.2,105.0,31,0.0,0,100,141.079040795
8002568,Finn O'Sullivan,NME,CAR,DEF,,7190,49.7,9.746794345,40.0,69.2,47.5,46.33,13,0.0,0,100,64.3201915175
8000379,Blake Acres,CAR,NME,MID,,12080,77.5,23.1478868,54.4,123.8,73.5,67.33,20,0.0,0,100,112.2218302
8001839,Jesse Motlop,CAR,NME,FWD,,7070,50.6,17.00386171,33.6,84.6,58.2,55.0,18,0.0,0,100,76.105792565
8000231,George Hewett,CAR,NME,MID,,16110,102.9,24.72062899,78.2,152.3,113.4,115.33,46,0.0,0,100,139.980943485
8000022,Jacob Weitering,CAR,NME,DEF,,9510,61.8,20.90273902,40.9,103.6,67.6,64.33,10,0.0,0,100,93.15410853
