Player_ID,Name,Team,Opponent,Status,Position1,Position2,Price,Projection,SD,Floor,Ceiling,FPPG,Form,Projected_Ownership,Exposure,MIN,MAX,GPP_Score,,,
8000056,Max Gawn,MEL,RIC,Start,RK,,15940,102.1,29.51936545,72.6,161.1,102,112.67,42,100,0,100,146.3790482,,,
8002566,Xavier Lindsay,MEL,RIC,Start,MID,,8970,64.5,36.39940476,28.1,137.3,59.6,41.33,40,100,0,100,119.0991071,,,"8000115, 8000184, 8000499, 8000530, 8000575, 8000929, 8001445, 8001568, 8001816"
8000069,Christian Salem,MEL,RIC,Start,DEF,,13160,85.1,26.32882331,58.8,137.8,92.67,83.33,20,94,0,100,124.593235,,,
8002565,Harvey Langford,MEL,RIC,Start,MID,,9090,62,30.01110905,32,122,53.6,59,28,90,0,100,107.0166636,,,
8000137,Tom Lynch,RIC,MEL,Start,FWD,,6560,53.6,26.47825814,27.1,106.6,44.4,43.33,18,76,0,100,93.31738721,,,
8001373,Tom Fullarton,MEL,RIC,Start,FWD,RK,6000,62.2,17.47445922,44.7,97.1,28,28,30,64,0,100,88.41168883,,,
8001430,Kade Chandler,MEL,RIC,Start,MID,FWD,9290,61.9,26.95358285,34.9,115.8,67.17,57,36,56,0,100,102.3303743,,,
8001454,Jack Ross,RIC,MEL,Start,MID,,10370,69.5,26.02789218,43.5,121.6,73.5,67.33,23,52,0,100,108.5418383,,,
8000140,Steven May,MEL,RIC,Start,DEF,,11000,76.7,22.38160116,54.3,121.5,70.33,70.33,22,52,0,100,110.2724017,,,
8000803,Tim Taranto,RIC,MEL,Start,MID,,15800,93.5,26.393822,67.1,146.3,93.67,106.33,32,40,0,100,133.090733,,,
8000469,Ed Langdon,MEL,RIC,Start,MID,,12790,81.8,23.96987633,57.8,129.7,86,86.33,29,34,0,100,117.7548145,,,
8000555,Christian Petracca,MEL,RIC,Start,MID,FWD,14760,90.9,23.60293355,67.3,138.1,90.83,93.67,39,32,0,100,126.3044003,,,
8000461,Jayden Short,RIC,MEL,Start,DEF,,13510,85.7,22.78521619,62.9,131.3,89.83,89.33,15,30,0,100,119.8778243,,,
8001556,Trent Rivers,MEL,RIC,Start,DEF,MID,12160,78.6,21.01267714,57.6,120.6,77.83,78,26,20,0,100,110.1190157,,,
8000074,Jack Viney,MEL,RIC,Start,MID,,12030,77.7,23.30747968,54.4,124.3,75.33,73.33,23,16,0,100,112.6612195,,,
8001434,Tom Sparrow,MEL,RIC,Start,MID,,8940,62.7,22.9442253,39.8,108.6,61.5,43,22,12,0,100,97.11633795,,,
8001555,Kysaiah Pickett,MEL,RIC,Start,MID,FWD,13620,82.8,23.05005877,59.7,128.9,101.33,101.33,43,10,0,100,117.3750882,,,
8000067,Clayton Oliver,MEL,RIC,Start,MID,,15860,89.3,23.87523035,65.4,137.1,98.17,94.33,39,6,0,100,125.1128455,,,
8000050,Nick Vlastuin,RIC,MEL,Start,DEF,,13130,79.3,22.15064361,57.1,123.6,80.67,97.33,13,4,0,100,112.5259654,,,
8000066,Tom McDonald,MEL,RIC,Start,DEF,,9770,64.1,23.30131997,40.8,110.7,66.83,75.33,13,4,0,100,99.05197996,,,
8002521,Campbell Gray,RIC,MEL,Start,DEF,,6000,49.3,19.72,29.6,88.7,0,0,15,2,0,100,78.88,,,
8002459,Koltyn Tholstrup,MEL,RIC,Start,FWD,MID,7720,56.4,21.08316864,35.3,98.6,47,47,30,2,0,100,88.02475296,,,
8002583,Sam Lalor,RIC,MEL,Start,FWD,MID,9660,63.3,20.40220576,42.9,104.1,66,66.67,23,2,0,100,93.90330864,,,
8000608,Nathan Broad,RIC,MEL,Start,DEF,,10310,64.8,21.70529818,43.1,108.2,67.17,78.33,5,2,0,100,97.35794727,,,
8000971,Charlie Spargo,MEL,RIC,Start,FWD,,6570,52.8,17.3314914,35.5,87.5,37.75,36.33,11,0,0,100,78.7972371,,,
8002372,James Trezise,RIC,MEL,Start,MID,DEF,8930,56.9,19.90973219,37,96.7,56.83,63.33,19,0,0,100,86.76459829,,,
8002460,Caleb Windsor,MEL,RIC,Start,DEF,MID,9220,55.7,20.90941088,34.8,97.5,53,52.33,17,0,0,100,87.06411632,,,
