Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
8000040,MID,Kamdyn McIntosh,Richmond,Melbourne,9410,72.67,59.33,CONFIRMED IN TEAM TO PLAY
8000050,DEF,Nick Vlastuin,Richmond,Melbourne,13130,80.67,97.33,CONFIRMED IN TEAM TO PLAY
8000056,RK,Max Gawn,Melbourne,Richmond,15940,102,112.67,CONFIRMED IN TEAM TO PLAY
8000066,DEF,Tom McDonald,Melbourne,Richmond,9770,66.83,75.33,CONFIRMED IN TEAM TO PLAY
8000067,MID,Clayton Oliver,Melbourne,Richmond,15860,98.17,94.33,CONFIRMED IN TEAM TO PLAY
8000069,DEF,Christian Salem,Melbourne,Richmond,13160,92.67,83.33,CONFIRMED IN TEAM TO PLAY
8000074,MID,Jack Viney,Melbourne,Richmond,12030,75.33,73.33,CONFIRMED IN TEAM TO PLAY
8000137,FWD,Tom Lynch,Richmond,Melbourne,6560,44.4,43.33,CONFIRMED IN TEAM TO PLAY
8000140,DEF,Steven May,Melbourne,Richmond,11000,70.33,70.33,CONFIRMED IN TEAM TO PLAY
8000240,RK,Toby Nankervis,Richmond,Melbourne,13430,88.17,80,CONFIRMED IN TEAM TO PLAY
8000461,DEF,Jayden Short,Richmond,Melbourne,13510,89.83,89.33,CONFIRMED IN TEAM TO PLAY
8000469,MID,Ed Langdon,Melbourne,Richmond,12790,86,86.33,CONFIRMED IN TEAM TO PLAY
8000499,MID,Jacob Hopper,Richmond,Melbourne,14440,84,95.33,CONFIRMED IN TEAM TO PLAY
8000555,MID,Christian Petracca,Melbourne,Richmond,14760,90.83,93.67,CONFIRMED IN TEAM TO PLAY
8000555,FWD,Christian Petracca,Melbourne,Richmond,14760,90.83,93.67,CONFIRMED IN TEAM TO PLAY
8000608,DEF,Nathan Broad,Richmond,Melbourne,10310,67.17,78.33,CONFIRMED IN TEAM TO PLAY
8000803,MID,Tim Taranto,Richmond,Melbourne,15800,93.67,106.33,CONFIRMED IN TEAM TO PLAY
8000969,FWD,Bayley Fritsch,Melbourne,Richmond,7790,55.6,69,CONFIRMED IN TEAM TO PLAY
8000970,FWD,Harrison Petty,Melbourne,Richmond,8520,49,45,CONFIRMED IN TEAM TO PLAY
8000971,FWD,Charlie Spargo,Melbourne,Richmond,6570,37.75,36.33,CONFIRMED IN TEAM TO PLAY
8000989,DEF,Ben Miller,Richmond,Melbourne,8110,58.67,52.67,CONFIRMED IN TEAM TO PLAY
8001373,FWD,Tom Fullarton,Melbourne,Richmond,6000,28,28,CONFIRMED IN TEAM TO PLAY
8001373,RK,Tom Fullarton,Melbourne,Richmond,6000,28,28,CONFIRMED IN TEAM TO PLAY
8001430,MID,Kade Chandler,Melbourne,Richmond,9290,67.17,57,CONFIRMED IN TEAM TO PLAY
8001430,FWD,Kade Chandler,Melbourne,Richmond,9290,67.17,57,CONFIRMED IN TEAM TO PLAY
8001434,MID,Tom Sparrow,Melbourne,Richmond,8940,61.5,43,CONFIRMED IN TEAM TO PLAY
8001454,MID,Jack Ross,Richmond,Melbourne,10370,73.5,67.33,CONFIRMED IN TEAM TO PLAY
8001555,MID,Kysaiah Pickett,Melbourne,Richmond,13620,101.33,101.33,CONFIRMED IN TEAM TO PLAY
8001555,FWD,Kysaiah Pickett,Melbourne,Richmond,13620,101.33,101.33,CONFIRMED IN TEAM TO PLAY
8001556,DEF,Trent Rivers,Melbourne,Richmond,12160,77.83,78,CONFIRMED IN TEAM TO PLAY
8001556,MID,Trent Rivers,Melbourne,Richmond,12160,77.83,78,CONFIRMED IN TEAM TO PLAY
8001568,MID,Thomson Dow,Richmond,Melbourne,9410,71.17,68.33,CONFIRMED IN TEAM TO PLAY
8001571,MID,Hugo Ralphsmith,Richmond,Melbourne,7800,61.5,61.5,CONFIRMED IN TEAM TO PLAY
