ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000004,Patrick Cripps,CAR,GEE,Start,13450,91.1,25.327416904131365,65.8,141.8,MID,
8000005,Charlie Curnow,CAR,GEE,Start,10130,69.3,26.1273764659796,43.2,121.6,FWD,
8000007,Sam Docherty,CAR,GEE,Not Named,12180,0,27.065573080262787,-27.1,54.1,MID,DEF
8000022,Jacob Weitering,CAR,GEE,Start,9370,60.9,20.902739023683967,40,102.7,DEF,
8000047,Daniel Rioli,GCS,SYD,Start,11800,77.5,22.285623479224057,55.2,122.1,DEF,
8000053,Sam Frost,HAW,WCE,Not Named,6000,0,16.766371762896615,-16.8,33.5,DEF,
8000099,Zac Williams,CAR,GEE,Start,8650,66.2,25.808680923408104,40.4,117.8,FWD,
8000135,Sean Lemmens,GCS,SYD,Not Named,6390,0,16.883157293108933,-16.9,33.8,DEF,
8000139,Jack Martin,GEE,CAR,Not Named,8250,0,25.518480512799332,-25.5,51,FWD,
8000142,Touk Miller,GCS,SYD,Start,14490,91.7,26.123729063738427,65.6,143.9,MID,
8000147,Adam Saad,CAR,GEE,Start,10570,68.7,17.897934385743564,50.8,104.5,DEF,
8000148,Alex Sexton,GCS,SYD,Not Named,8760,0,25.862427514494943,-25.9,51.7,FWD,
8000167,Mitch McGovern,CAR,GEE,Start,10520,67.2,19.62444444504645,47.6,106.4,DEF,
8000201,Taylor Adams,SYD,GCS,Not Named,9200,0,26.225082756495812,-26.2,52.5,FWD,
8000211,Brodie Grundy,SYD,GCS,Start,13220,88.8,28.354105130964328,60.4,145.5,RK,
8000225,Jarrod Witts,GCS,SYD,Start,13160,92.1,23.439244412169007,68.7,139,RK,
8000226,Harry Cunningham,SYD,GCS,Not Named,8440,0,22.29803224325211,-22.3,44.6,DEF,
8000230,Isaac Heeney,SYD,GCS,Start,14470,94,23.635992112352973,70.4,141.3,MID,
8000231,George Hewett,CAR,GEE,Start,16770,104.7,24.72062898684711,80,154.1,MID,
8000237,Jake Lloyd,SYD,GCS,Start,13360,81.3,23.979973333971934,57.3,129.3,MID,DEF
8000238,Callum Mills,SYD,GCS,Not Named,11900,0,27.124180854461482,-27.1,54.2,DEF,MID
8000241,Tom Papley,SYD,GCS,Not Named,8780,0,20.904566051081954,-20.9,41.8,FWD,MID
8000243,Dane Rampe,SYD,GCS,Start,9540,60.5,21.563404002078677,38.9,103.6,DEF,
8000275,Lachie Weller,GCS,SYD,Start,9830,63.9,19.662014239845295,44.2,103.2,MID,
8000331,Jamie Cripps,WCE,HAW,Start,9750,62.8,22.473385334810214,40.3,107.7,FWD,
