ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000078,Aidan Corr,NME,POR,Not Named,9040,0,19.69251036024333,-19.7,39.4,DEF,
8000151,Rory Atkins,POR,NME,Not Named,10260,0,28.34510617199038,-28.3,56.7,DEF,
8000190,Luke McDonald,NME,POR,Start,9070,56.5,21.214876321389358,35.3,98.9,DEF,
8000242,Luke Parker,NME,POR,Start,11520,80.3,26.521860410054607,53.8,133.3,MID,
8000282,Caleb Daniel,NME,POR,Start,13200,95.4,23.88932252395791,71.5,143.2,DEF,
8000332,Jack Darling,NME,POR,Start,7790,58.1,23.446284063787143,34.7,105,FWD,RK
8000356,Travis Boak,POR,NME,Not Named,11150,0,23.40093786684902,-23.4,46.8,MID,FWD
8000376,Ollie Wines,POR,NME,Start,13620,91.9,23.30970219437978,68.6,138.5,MID,
8000478,Darcy Byrne-Jones,POR,NME,Start,8990,54.4,22.25817988338695,32.1,98.9,FWD,
8000503,Darcy Tucker,NME,POR,Start,9280,64.1,22.315479981487652,41.8,108.7,DEF,
8000571,Aliir Aliir,POR,NME,Start,8690,59.7,18.153227644500124,41.5,96,DEF,
8000620,Jeremy Finlayson,POR,NME,Start,8650,0,23.447403187846696,-23.4,46.9,DEF,
8000681,Ryan Burton,POR,NME,Not Named,9690,0,21.492322671819608,-21.5,43,DEF,
8000716,Zac Fisher,NME,POR,Not Named,11530,0,22.18980746999747,-22.2,44.4,DEF,
8000764,Griffin Logue,NME,POR,Not Named,6000,0,19.680567255070518,-19.7,39.4,DEF,
8000784,Esava Ratugolea,POR,NME,Start,6000,45.7,17.599150519553522,28.1,80.9,DEF,
8000832,Nick Larkey,NME,POR,Start,8470,59.2,24.465865611872243,34.7,108.1,FWD,
8000835,Jy Simpkin,NME,POR,Start,14170,86.5,27.29001309331583,59.2,141.1,MID,
8000839,Cameron Zurhaar,NME,POR,Start,9170,61.4,20.527842494044947,40.9,102.5,FWD,
8000841,Willem Drew,POR,NME,Start,11210,76.9,20.58289694669209,56.3,118.1,MID,
8000850,Todd Marshall,POR,NME,Not Named,7840,0,23.290074843308183,-23.3,46.6,FWD,
8000852,Sam Powell-Pepper,POR,NME,Start,9560,63.6,20.38530399008205,43.2,104.4,FWD,
8000857,Ivan Soldo,POR,NME,Not Named,10890,0,21.86677184578718,-21.9,43.7,RK,
8000883,Toby Pink,NME,POR,Not Named,6000,0,14.688180522407244,-14.7,29.4,DEF,
8000892,Willie Rioli,POR,NME,Start,8740,61.1,19.914076346396865,41.2,100.9,FWD,
8000933,Brandon Zerk-Thatcher,POR,NME,Not Named,7950,0,19.020503740509096,-19,38,DEF,
8000972,Luke Davies-Uniacke,NME,POR,Start,13830,88.9,27.032224296984477,61.9,143,MID,
8000978,Tristan Xerri,NME,POR,Start,16240,104.8,37.44379394396397,67.4,179.7,RK,
