Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000004,MID,Patrick Cripps,Carlton,Geelong Cats,13450,81.5,73,CONFIRMED IN TEAM TO PLAY,131,0
8000005,FWD,Charlie Curnow,Carlton,Geelong Cats,10130,58.4,70.67,CONFIRMED IN TEAM TO PLAY,86,0
8000022,DEF,Jacob Weitering,Carlton,Geelong Cats,9370,65.83,62.33,CONFIRMED IN TEAM TO PLAY,76,0
8000047,DEF,Daniel Rioli,Gold Coast SUNS,Sydney Swans,11800,70.4,70.33,CONFIRMED IN TEAM TO PLAY,93,0
8000099,FWD,Zac Williams,Carlton,Geelong Cats,8650,57.17,75.67,CONFIRMED IN TEAM TO PLAY,25,23
8000142,MID,Touk Miller,Gold Coast SUNS,Sydney Swans,14490,97.6,93,CONFIRMED IN TEAM TO PLAY,73,0
8000147,DEF,Adam Saad,Carlton,Geelong Cats,10570,70.5,72.33,CONFIRMED IN TEAM TO PLAY,83,8
8000167,DEF,Mitch McGovern,Carlton,Geelong Cats,10520,67.83,86,CONFIRMED IN TEAM TO PLAY,78,15
8000211,RK,Brodie Grundy,Sydney Swans,Gold Coast SUNS,13220,89.67,97.33,CONFIRMED IN TEAM TO PLAY,54,8
8000225,RK,Jarrod Witts,Gold Coast SUNS,Sydney Swans,13160,93.6,88,CONFIRMED IN TEAM TO PLAY,83,15
8000230,MID,Isaac Heeney,Sydney Swans,Gold Coast SUNS,14470,87.83,88.33,CONFIRMED IN TEAM TO PLAY,72,0
8000231,MID,George Hewett,Carlton,Geelong Cats,16770,115,117.67,CONFIRMED IN TEAM TO PLAY,114,15
8000237,MID,Jake Lloyd,Sydney Swans,Gold Coast SUNS,13360,84.67,87.33,CONFIRMED IN TEAM TO PLAY,109,0
8000237,DEF,Jake Lloyd,Sydney Swans,Gold Coast SUNS,13360,84.67,87.33,CONFIRMED IN TEAM TO PLAY,109,0
8000243,DEF,Dane Rampe,Sydney Swans,Gold Coast SUNS,9540,64.33,63.67,CONFIRMED IN TEAM TO PLAY,65,0
8000275,MID,Lachie Weller,Gold Coast SUNS,Sydney Swans,9830,61.4,60.33,CONFIRMED IN TEAM TO PLAY,63,0
8000331,FWD,Jamie Cripps,West Coast Eagles,Hawthorn,9750,61.5,65,CONFIRMED IN TEAM TO PLAY,63,0
