Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000115,FWD,Kyle Langford,Essendon,North Melbourne,10050,43.5,43.5,CONFIRMED IN TEAM TO PLAY,57,4
8000120,MID,Zach Merrett,Essendon,North Melbourne,16970,110.5,107,CONFIRMED IN TEAM TO PLAY,117,48
8000150,FWD,Peter Wright,Essendon,North Melbourne,12350,94,94,CONFIRMED IN TEAM TO PLAY,96,28
8000150,RK,Peter Wright,Essendon,North Melbourne,12350,94,94,CONFIRMED IN TEAM TO PLAY,96,28
8000184,RK,Todd Goldstein,Essendon,North Melbourne,9890,79,79,CONFIRMED IN TEAM TO PLAY,49,24
8000190,DEF,Luke McDonald,North Melbourne,Essendon,7750,58.86,48,CONFIRMED IN TEAM TO PLAY,47,16
8000242,MID,Luke Parker,North Melbourne,Essendon,12320,85.57,81,CONFIRMED IN TEAM TO PLAY,83,52
8000282,DEF,Caleb Daniel,North Melbourne,Essendon,13590,94.43,84.33,CONFIRMED IN TEAM TO PLAY,77,32
8000332,FWD,Jack Darling,North Melbourne,Essendon,8160,55.14,56.33,CONFIRMED IN TEAM TO PLAY,8,16
8000332,RK,Jack Darling,North Melbourne,Essendon,8160,55.14,56.33,CONFIRMED IN TEAM TO PLAY,8,16
8000389,FWD,Jade Gresham,Essendon,North Melbourne,7790,54.17,43.67,CONFIRMED IN TEAM TO PLAY,74,12
8000575,DEF,Mason Redman,Essendon,North Melbourne,12200,74.17,68.33,CONFIRMED IN TEAM TO PLAY,85,4
8000682,DEF,Ben McKay,Essendon,North Melbourne,6000,36.17,35.33,CONFIRMED IN TEAM TO PLAY,24,24
8000751,DEF,Andrew McGrath,Essendon,North Melbourne,12030,68.5,70.67,CONFIRMED IN TEAM TO PLAY,64,0
8000756,DEF,Jordan Ridley,Essendon,North Melbourne,11810,64,74,CONFIRMED IN TEAM TO PLAY,33,40
8000799,MID,Will Setterfield,Essendon,North Melbourne,14340,92,92,CONFIRMED IN TEAM TO PLAY,112,16
8000832,FWD,Nick Larkey,North Melbourne,Essendon,8620,58.14,53,CONFIRMED IN TEAM TO PLAY,45,8
8000835,MID,Jy Simpkin,North Melbourne,Essendon,13880,92.86,80.67,CONFIRMED IN TEAM TO PLAY,94,12
8000839,FWD,Cameron Zurhaar,North Melbourne,Essendon,9350,62.71,48,CONFIRMED IN TEAM TO PLAY,50,4
8000972,MID,Luke Davies-Uniacke,North Melbourne,Essendon,14090,85.57,86.67,CONFIRMED IN TEAM TO PLAY,86,16
8000978,RK,Tristan Xerri,North Melbourne,Essendon,17220,97.86,103.67,CONFIRMED IN TEAM TO PLAY,121,44
8001439,MID,Bailey Scott,North Melbourne,Essendon,11300,62,56.33,NAMED AS EMERGENCY RESERVE,14,4
8001439,DEF,Bailey Scott,North Melbourne,Essendon,11300,62,56.33,NAMED AS EMERGENCY RESERVE,14,4
8001445,MID,Xavier Duursma,Essendon,North Melbourne,11730,77,66.67,CONFIRMED IN TEAM TO PLAY,89,8
8001505,DEF,Jaxon Prior,Essendon,North Melbourne,8610,60.5,56,CONFIRMED IN TEAM TO PLAY,50,12
8001520,MID,Harrison Jones,Essendon,North Melbourne,7790,53.67,48,CONFIRMED IN TEAM TO PLAY,28,36
8001520,FWD,Harrison Jones,Essendon,North Melbourne,7790,53.67,48,CONFIRMED IN TEAM TO PLAY,28,36
8001557,DEF,Charlie Comben,North Melbourne,Essendon,7100,46.57,39,CONFIRMED IN TEAM TO PLAY,29,4
8001578,MID,Dylan Stephens,North Melbourne,Essendon,9580,56,70.67,CONFIRMED IN TEAM TO PLAY,91,36
8001747,FWD,Archie Perkins,Essendon,North Melbourne,8910,68.6,65,CONFIRMED IN TEAM TO PLAY,81,40
8001748,DEF,Zach Reid,Essendon,North Melbourne,9140,66.17,66.67,CONFIRMED IN TEAM TO PLAY,90,32
8001780,MID,Will Phillips,North Melbourne,Essendon,8870,46,46,CONFIRMED IN TEAM TO PLAY,68,8
8001781,MID,Tom Powell,North Melbourne,Essendon,12870,88,77.67,CONFIRMED IN TEAM TO PLAY,110,16
8001816,MID,Sam Durham,Essendon,North Melbourne,13010,79.17,81.67,CONFIRMED IN TEAM TO PLAY,85,12
8001845,FWD,Ben Hobbs,Essendon,North Melbourne,10510,62.5,72.33,CONFIRMED IN TEAM TO PLAY,63,40
8001845,MID,Ben Hobbs,Essendon,North Melbourne,10510,62.5,72.33,CONFIRMED IN TEAM TO PLAY,63,40
8001847,MID,Nic Martin,Essendon,North Melbourne,15130,94.33,105,CONFIRMED IN TEAM TO PLAY,80,28
8001847,FWD,Nic Martin,Essendon,North Melbourne,15130,94.33,105,CONFIRMED IN TEAM TO PLAY,80,28
8001883,DEF,Jackson Archer,North Melbourne,Essendon,6000,38.5,38.5,CONFIRMED IN TEAM TO PLAY,4,0
8001951,FWD,Jye Menzie,Essendon,North Melbourne,6390,42.2,52,NAMED AS EMERGENCY RESERVE,9,4
8001957,DEF,Kallan Dawson,North Melbourne,Essendon,6000,22,22,CONFIRMED IN TEAM TO PLAY,34,0
8002293,MID,Elijah Tsatas,Essendon,North Melbourne,10060,63.5,63.5,CONFIRMED IN TEAM TO PLAY,37,44
8002331,MID,Harry Sheezel,North Melbourne,Essendon,16100,102.43,95.33,CONFIRMED IN TEAM TO PLAY,134,48
8002331,DEF,Harry Sheezel,North Melbourne,Essendon,16100,102.43,95.33,CONFIRMED IN TEAM TO PLAY,134,48
8002349,FWD,Jacob Konstanty,North Melbourne,Essendon,6000,37.14,25.33,CONFIRMED IN TEAM TO PLAY,23,8
8002438,FWD,Nate Caddy,Essendon,North Melbourne,8700,51.5,52.33,CONFIRMED IN TEAM TO PLAY,71,0
8002440,DEF,Archie Roberts,Essendon,North Melbourne,12600,81.33,83.67,CONFIRMED IN TEAM TO PLAY,94,8
8002440,MID,Archie Roberts,Essendon,North Melbourne,12600,81.33,83.67,CONFIRMED IN TEAM TO PLAY,94,8
8002462,FWD,Zane Duursma,North Melbourne,Essendon,6000,31.67,31.67,CONFIRMED IN TEAM TO PLAY,37,16
8002464,DEF,Riley Hardeman,North Melbourne,Essendon,6000,25.67,25.67,CONFIRMED IN TEAM TO PLAY,73,8
8002465,FWD,Finnbar Maley,North Melbourne,Essendon,6000,0,0,CONFIRMED IN TEAM TO PLAY,43,28
8002465,RK,Finnbar Maley,North Melbourne,Essendon,6000,0,0,CONFIRMED IN TEAM TO PLAY,43,28
8002466,MID,Colby McKercher,North Melbourne,Essendon,9870,61,47.67,CONFIRMED IN TEAM TO PLAY,48,16
8002466,FWD,Colby McKercher,North Melbourne,Essendon,9870,61,47.67,CONFIRMED IN TEAM TO PLAY,48,16
8002545,FWD,Isaac Kako,Essendon,North Melbourne,6500,44.5,44,CONFIRMED IN TEAM TO PLAY,38,24
8002568,DEF,Finn O'Sullivan,North Melbourne,Essendon,6160,42.17,39,CONFIRMED IN TEAM TO PLAY,49,20
