ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000040,Kamdyn McIntosh,RIC,STK,Start,9460,59,18.60881325733649,40.4,96.2,MID,
8000047,Daniel Rioli,GCS,MEL,Start,12900,87.8,22.168470372152594,65.6,132.1,DEF,
8000050,Nick Vlastuin,RIC,STK,Start,13020,78.6,22.23295140154084,56.4,123.1,DEF,
8000053,Sam Frost,HAW,GWS,Not Named,6000,0,16.766371762896615,-16.8,33.5,DEF,
8000056,Max Gawn,MEL,GCS,Start,15280,103.3,29.67041671966513,73.6,162.6,RK,
8000059,Jesse Hogan,GWS,HAW,Start,13040,80.2,26.53182556710212,53.7,133.3,FWD,
8000066,Tom McDonald,MEL,GCS,Start,9780,61.3,23.400336519777646,37.9,108.1,DEF,
8000067,Clayton Oliver,MEL,GCS,Start,14750,83.6,24.0606143102597,59.5,131.7,MID,
8000069,Christian Salem,MEL,GCS,Start,13100,91,26.529491296703757,64.5,144.1,DEF,
8000074,Jack Viney,MEL,GCS,Start,12340,81.4,23.29541030987764,58.1,128,MID,
8000077,Stephen Coniglio,GWS,HAW,Start,9280,66.2,27.599737446227024,38.6,121.4,FWD,
8000080,Toby Greene,GWS,HAW,Start,11820,77.3,24.575959111532732,52.7,126.5,FWD,
8000084,Josh Kelly,GWS,HAW,Start,14040,92,25.838360675614474,66.2,143.7,MID,
8000094,Jack Steele,STK,RIC,Start,16360,103.9,24.239487479269673,79.7,152.4,MID,
8000097,Callan Ward,GWS,HAW,Start,10360,69.6,26.727714872828244,42.9,123.1,MID,
8000098,Lachie Whitfield,GWS,HAW,Start,17340,107.6,27.59532147012076,80,162.8,DEF,
8000127,Callum Ah Chee,BRI,GEE,Start,10210,60.2,20.782934441138824,39.4,101.8,FWD,
8000130,Sam Day,BRI,GEE,Start,7500,53.1,19.681083232912858,33.4,92.5,FWD,RK
8000135,Sean Lemmens,GCS,MEL,Not Named,6400,0,16.883157293108933,-16.9,33.8,DEF,
8000137,Tom Lynch,RIC,STK,Start,6850,57,26.37421814897972,30.6,109.7,FWD,
8000139,Jack Martin,GEE,BRI,Not Named,8250,0,25.518480512799332,-25.5,51,FWD,
8000140,Steven May,MEL,GCS,Start,10980,79.2,22.328734737573143,56.9,123.9,DEF,
8000142,Touk Miller,GCS,MEL,Start,14810,96,26.270423368858324,69.7,148.5,MID,
8000144,Dion Prestia,RIC,STK,Not Named,11630,0,24.609449404649425,-24.6,49.2,MID,
8000148,Alex Sexton,GCS,MEL,Not Named,8260,0,25.862427514494943,-25.9,51.7,FWD,
8000163,Jake Lever,MEL,GCS,Not Named,7810,0,20.29595658024372,-20.3,40.6,DEF,
8000225,Jarrod Witts,GCS,MEL,Start,14750,95.9,23.614883235323415,72.3,143.1,RK,
8000234,Zak Jones,STK,RIC,Start,12010,70.2,25.59838226124721,44.6,121.4,MID,
8000240,Toby Nankervis,RIC,STK,Start,14860,99.8,24.44030435637174,75.4,148.7,RK,
8000264,Lachie Neale,BRI,GEE,Start,14970,98.4,28.311770970710775,70.1,155,MID,
8000275,Lachie Weller,GCS,MEL,Start,10290,71.2,19.5458734800343,51.7,110.3,MID,
8000284,Josh Dunkley,BRI,GEE,Start,16070,101.9,27.48679336561123,74.4,156.9,MID,
8000289,Jack Macrae,STK,RIC,Start,16720,102.9,26.898058106125024,76,156.7,MID,
8000297,Jake Stringer,GWS,HAW,Start,10320,63,22.8856445693369,40.1,108.8,FWD,MID
8000303,Harris Andrews,BRI,GEE,Start,9070,57.5,19.815923219477693,37.7,97.1,DEF,
8000311,Darcy Gardiner,BRI,GEE,Not Named,6000,0,18.461197596678865,-18.5,36.9,FWD,DEF
8000315,Ryan Lester,BRI,GEE,Start,10550,66.2,20.046340544617344,46.2,106.3,DEF,
8000355,Karl Amon,HAW,GWS,Start,13640,89.7,25.40556237936493,64.3,140.5,DEF,
8000365,Jarman Impey,HAW,GWS,Start,10140,68.9,22.627736237551048,46.3,114.2,DEF,
8000381,Jack Billings,MEL,GCS,Start,9730,69.1,26.22563180039507,42.9,121.6,MID,
8000399,Jack Sinclair,STK,RIC,Start,16820,105.5,26.67046262242985,78.8,158.8,DEF,MID
8000402,Jimmy Webster,STK,RIC,Start,8660,56.2,19.476040121306074,36.7,95.2,DEF,
8000405,Mark Blicavs,GEE,BRI,Start,10770,68.4,22.64674309624622,45.8,113.7,DEF,RK
8000408,Patrick Dangerfield,GEE,BRI,Start,11170,67.3,29.046836604471846,38.3,125.4,MID,FWD
8000409,Mitch Duncan,GEE,BRI,Not Named,10490,0,26.624471288077718,-26.6,53.2,DEF,
8000412,Cameron Guthrie,GEE,BRI,Not Named,11330,0,26.355650113154663,-26.4,52.7,MID,
8000416,Jake Kolodjashnij,GEE,BRI,Not Named,9130,0,17.026501657821232,-17,34.1,DEF,
8000420,Lincoln McCarthy,BRI,GEE,Not Named,9640,0,19.901689945659307,-19.9,39.8,FWD,
8000426,Rhys Stanley,GEE,BRI,Not Named,10830,0,23.56033832602814,-23.6,47.1,RK,
8000431,Luke Breust,HAW,GWS,Start,6160,38,22.7431048514306,15.3,83.5,FWD,
8000437,Jack Gunston,HAW,GWS,Start,7770,53.5,28.427303990048838,25.1,110.4,FWD,
8000438,Blake Hardwick,HAW,GWS,Start,10600,59.9,22.129773983295088,37.8,104.2,FWD,DEF
8000451,James Sicily,HAW,GWS,Start,13510,89.3,27.1261284557236,62.2,143.6,DEF,
8000461,Jayden Short,RIC,STK,Start,13160,86.7,22.807807235205104,63.9,132.3,DEF,
8000467,Dayne Zorko,BRI,GEE,Start,16990,109.8,28.85785450243291,80.9,167.5,DEF,
8000469,Ed Langdon,MEL,GCS,Start,12700,82,23.914290890143317,58.1,129.8,MID,
8000477,Dougal Howard,STK,RIC,Not Named,7380,0,18.012013066402556,-18,36,DEF,
8000482,Tom Campbell,MEL,GCS,Not Named,6000,0,22.71193124618951,-22.7,45.4,RK,FWD
8000499,Jacob Hopper,RIC,STK,Start,12180,79.5,20.769613510531325,58.7,121,MID,
8000525,Brayden Fiorini,GCS,MEL,Not Named,10790,0,29.58627107118158,-29.6,59.2,MID,
8000527,Charlie Cameron,BRI,GEE,Start,9130,60.1,20.932542204223964,39.2,102,FWD,
8000531,Conor McKenna,BRI,GEE,Not Named,6000,0,19.1935809162099,-19.2,38.4,FWD,
8000532,Jed Bews,GEE,BRI,Not Named,6630,0,17.730719020187088,-17.7,35.5,DEF,
8000535,Zaine Cordy,STK,RIC,Not Named,6000,0,17.092062538608623,-17.1,34.2,DEF,FWD
8000542,Mason Wood,STK,RIC,Start,13290,83.8,28.172986232997587,55.6,140.1,FWD,MID
8000547,Bradley Hill,STK,RIC,Start,9060,57.6,24.58951179805988,33,106.8,MID,
8000553,Jeremy Cameron,GEE,BRI,Start,13230,84.9,27.257911414511796,57.6,139.4,FWD,
8000555,Christian Petracca,MEL,GCS,Start,14290,92.1,23.739160772914015,68.4,139.6,MID,
8000594,Dan Butler,STK,RIC,Not Named,8200,0,18.385487467709073,-18.4,36.8,FWD,
8000608,Nathan Broad,RIC,STK,Start,9730,59.3,21.629482116876844,37.7,102.6,DEF,
8000609,Eric Hipwood,BRI,GEE,Start,7570,52.5,20.311878445896596,32.2,93.1,FWD,
8000618,Sam Collins,GCS,MEL,Start,7730,46.7,17.630698665483195,29.1,82,DEF,
8000626,Tom Barrass,HAW,GWS,Start,7810,57.3,21.454750745449445,35.8,100.2,DEF,
8000646,Harry Himmelberg,GWS,HAW,Start,12260,81.3,23.53755261602923,57.8,128.4,DEF,
8000691,Mabior Chol,HAW,GWS,Start,8650,50.9,19.682483592903715,31.2,90.3,FWD,RK
8000694,Tom Doedee,BRI,GEE,Not Named,8910,0,20.463232942011494,-20.5,40.9,DEF,
8000698,Elliott Himmelberg,GCS,MEL,Not Named,7620,0,18.904442842455673,-18.9,37.8,FWD,RK
8000706,Jarrod Berry,BRI,GEE,Start,13290,88.1,23.406042848089676,64.7,134.9,MID,
8000713,Hugh McCluggage,BRI,GEE,Start,14180,91,22.840795699936216,68.2,136.7,MID,
8000714,Oscar McInerney,BRI,GEE,Start,13130,88.2,22.878955273946506,65.3,134,RK,
8000731,Lachlan Keeffe,GWS,HAW,Start,7800,58.7,17.37121858463497,41.3,93.4,RK,FWD
8000775,Zach Guthrie,GEE,BRI,Start,12450,80.3,24.182401760199717,56.1,128.7,DEF,
8000777,Jack Henry,GEE,BRI,Start,10420,66.1,17.488219899379185,48.6,101.1,DEF,
8000781,Mark O'Connor,GEE,BRI,Not Named,8310,0,18.567592937008005,-18.6,37.1,DEF,MID
8000786,Tom Stewart,GEE,BRI,Start,13980,90.9,25.78452727940633,65.1,142.5,DEF,MID
8000788,Ben Ainsworth,GCS,MEL,Not Named,10200,0,20.934581830500232,-20.9,41.9,FWD,
8000789,Jack Bowes,GEE,BRI,Start,11500,76.1,25.3797734545287,50.7,126.9,MID,DEF
8000793,Jack Scrimshaw,HAW,GWS,Not Named,10920,0,21.8810300654341,-21.9,43.8,DEF,
8000795,David Swallow,GCS,MEL,Not Named,6570,0,25.31067629930171,-25.3,50.6,FWD,DEF
8000803,Tim Taranto,RIC,STK,Start,14200,89.3,26.62785962243905,62.7,142.6,MID,
8000808,Mitch Lewis,HAW,GWS,Not Named,8740,0,25.100547287262142,-25.1,50.2,FWD,
8000809,Harry Morrison,HAW,GWS,Start,9880,72.3,20.780061630459095,51.5,113.9,MID,
8000810,Conor Nash,HAW,GWS,Start,11820,71.9,26.6537311860575,45.2,125.2,MID,
8000824,Jake Melksham,MEL,GCS,Start,7680,0,23.155291174693005,-23.2,46.3,FWD,
8000858,Tyson Stengle,GEE,BRI,Start,9800,62.6,19.441569013852654,43.2,101.5,FWD,
8000860,Josh Battle,HAW,GWS,Start,11410,74.8,25.04979675487043,49.8,124.9,DEF,
8000865,Darragh Joyce,BRI,GEE,Not Named,6530,0,15.808122568174715,-15.8,31.6,DEF,
8000866,Ben Long,GCS,MEL,Start,9190,59.7,21.030220869802815,38.7,101.8,FWD,
8000867,Rowan Marshall,STK,RIC,Start,18010,114.8,29.109231770005742,85.7,173,RK,
8000912,Zac Bailey,BRI,GEE,Start,10300,68.7,20.366809087246928,48.3,109.4,MID,FWD
8000914,Jack Payne,BRI,GEE,Start,6000,47.3,19.436982103503762,27.9,86.2,DEF,
8000915,Cam Rayner,BRI,GEE,Start,9260,61.4,20.05934781645944,41.3,101.5,FWD,MID
8000916,Brandon Starcevich,BRI,GEE,Not Named,8650,0,17.917077031081302,-17.9,35.8,DEF,
8000919,Paddy Dow,STK,RIC,Not Named,9860,0,21.528958008044338,-21.5,43.1,MID,
8000941,Lloyd Meek,HAW,GWS,Start,12850,85,27.146106739477602,57.9,139.3,RK,
8000947,Gryan Miers,GEE,BRI,Start,13270,85.7,22.267957417467326,63.4,130.2,FWD,
8000948,Charlie Ballard,GCS,MEL,Not Named,6370,0,18.68457800647344,-18.7,37.4,DEF,
8000952,Nick Holman,GCS,MEL,Start,8650,55.1,20.932030381824433,34.2,97,MID,FWD
8000955,Wil Powell,GCS,MEL,Start,11200,73.2,24.419964804279065,48.8,122,DEF,
8000957,Jack Buckley,GWS,HAW,Start,7620,54.4,17.26386529071979,37.1,88.9,DEF,
8000958,Brent Daniels,GWS,HAW,Start,12270,83.9,25.12022321555774,58.8,134.1,FWD,
8000961,Sam Taylor,GWS,HAW,Start,8090,52.7,21.90331155076813,30.8,96.5,DEF,
8000962,Changkuoth Jiath,HAW,GWS,Start,8360,52.1,19.63048368543961,32.5,91.4,DEF,
8000965,Dylan Moore,HAW,GWS,Start,13670,85.3,24.593926529913162,60.7,134.5,FWD,MID
8000967,James Worpel,HAW,GWS,Not Named,11710,0,23.572073625790438,-23.6,47.1,MID,
8000969,Bayley Fritsch,MEL,GCS,Start,7380,48.4,21.840556074072932,26.6,92.1,FWD,
8000970,Harrison Petty,MEL,GCS,Start,9410,57.9,18.989081018695863,38.9,95.9,DEF,
8000971,Charlie Spargo,MEL,GCS,Not Named,7190,0,16.638578681984416,-16.6,33.3,FWD,
8000985,Noah Balta,RIC,STK,Not Named,8520,0,18.5306978419415,-18.5,37.1,DEF,FWD
8000988,Jack Higgins,STK,RIC,Start,9120,62.9,19.963519049513373,42.9,102.8,FWD,
8000989,Ben Miller,RIC,STK,Start,8120,52.7,18.693496422837498,34,90.1,DEF,
8000991,Hunter Clark,STK,RIC,Not Named,10110,0,21.748467959510588,-21.7,43.5,MID,DEF
8001367,Shane McAdam,MEL,GCS,Not Named,8060,0,20.16121526274712,-20.2,40.3,FWD,
8001371,Noah Answerth,BRI,GEE,Start,8550,61.2,20.748319695036216,40.5,102.7,DEF,
8001372,Thomas Berry,GCS,MEL,Not Named,6530,0,23.962595436772812,-24,47.9,FWD,
8001373,Tom Fullarton,MEL,GCS,Not Named,6000,0,17.47445922328353,-17.5,34.9,RK,FWD
8001383,Liam Stocker,STK,RIC,Not Named,7670,0,19.55768016356127,-19.6,39.1,DEF,
8001400,Tom Atkins,GEE,BRI,Start,10860,72,22.40257763062376,49.6,116.8,MID,
8001403,Darcy Fort,BRI,GEE,Not Named,8550,0,22.98357554308608,-23,46,RK,FWD
8001412,Caleb Graham,GCS,MEL,Not Named,6000,0,16.608456907275908,-16.6,33.2,DEF,
8001413,Ben King,GCS,MEL,Start,8840,59.7,21.4220639659535,38.3,102.5,FWD,
8001417,Kieren Briggs,GWS,HAW,Start,13900,93.2,26.287833613259792,66.9,145.8,RK,
8001418,Callum M. Brown,GWS,HAW,Not Named,6000,0,24.5966510551531,-24.6,49.2,FWD,
8001422,Connor Idun,GWS,HAW,Start,10800,69,18.09563371884086,50.9,105.2,DEF,
8001423,Xavier O'Halloran,GWS,HAW,Start,6530,48.3,19.383573784297912,28.9,87.1,FWD,
