Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2,Projected_Ownership,Exposure,MIN,MAX
8002607,Riley Bice,SYD,COL,Start,9820,69.1,45.9383645,23.2,161.0,DEF,,31,70.0,0,80
8000901,Patrick Lipinski,COL,SYD,Start,10720,72.2,23.28240065,48.9,118.8,MID,FWD,36,50.0,0,80
8000729,Josh Daicos,COL,SYD,Start,15260,95.0,22.36713237,72.6,139.7,DEF,MID,31,80.0,0,80
8000871,Darcy Cameron,COL,SYD,Start,15590,102.0,28.60090831,73.4,159.2,RK,,40,80.0,0,80
8000211,Brodie Grundy,SYD,COL,Start,12310,85.2,28.4122383,56.8,142.0,RK,,35,20.0,0,80
8001580,Chad Warner,SYD,COL,Start,13330,84.9,23.51254202,61.4,131.9,MID,FWD,25,40.0,0,80
8001432,James Jordon,SYD,COL,Start,9280,67.5,23.59269441,43.9,114.7,MID,,24,80.0,0,80
8002493,Caiden Cleary,SYD,COL,Start,7450,54.6,26.39444386,28.2,107.4,FWD,MID,49,0.0,0,80
8001906,Corey Warner,SYD,COL,Start,7450,55.8,23.19676149,32.6,102.2,MID,FWD,40,20.0,0,80
8000848,Peter Ladhams,SYD,COL,Start,9640,65.5,25.53284015,40.0,116.6,RK,FWD,21,0.0,0,80
8001873,Ned Long,COL,SYD,Start,8440,59.7,20.1195386,39.6,99.9,MID,,20,30.0,0,80
8000230,Isaac Heeney,SYD,COL,Start,15760,94.3,23.66563573,70.6,141.6,MID,,23,10.0,0,80
8001468,James Rowbottom,SYD,COL,Start,11940,79.0,21.1112787,57.9,121.2,MID,,25,70.0,0,80
8001840,Nick Daicos,COL,SYD,Start,15990,100.6,25.18735424,75.4,151.0,MID,,37,80.0,0,80
8000798,Harry Perryman,COL,SYD,Start,11890,73.5,20.70062127,52.8,114.9,MID,DEF,26,0.0,0,80
8000205,Jack Crisp,COL,SYD,Start,12960,74.5,22.72619949,51.8,120.0,MID,DEF,30,0.0,0,80
8000214,Brayden Maynard,COL,SYD,Start,8580,61.6,20.67306643,40.9,102.9,DEF,,16,30.0,0,80
8000483,Joel Hamling,SYD,COL,Start,6000,49.3,16.52173544,32.8,82.3,DEF,,15,70.0,0,80
8000237,Jake Lloyd,SYD,COL,Start,13990,84.4,24.01318337,60.4,132.4,MID,DEF,25,0.0,0,80
8000507,Tim Membrey,COL,SYD,Start,8740,63.0,20.98717271,42.0,105.0,FWD,,15,70.0,0,80
8001489,Hayden McLean,SYD,COL,Start,8280,62.1,22.327549,39.8,106.8,FWD,RK,21,80.0,0,80
