Player_ID,Name,Team,Opponent,Position1,Position2,Price,Projection,SD,Floor,Ceiling,FPPG,Form,Projected_Ownership,Exposure,MIN,MAX
8001836,James Tunstill,BRI,COL,MID,FWD,6000,63.7,17.5855054,46.1,98.9,0,0,22,80,,
8000467,Dayne Zorko,BRI,COL,DEF,,16010,105.5,28.75636996,76.7,163,105.2,96,24,80,,
8000871,Darcy Cameron,COL,BRI,RK,,15210,102.6,28.56899499,74,159.7,107.2,110.33,39,80,,
8002530,Sam Marshall,BRI,COL,MID,,6000,50,22.44,-22.4,44.9,0,0,0,80,,
8000457,Jeremy Howe,COL,BRI,DEF,,7920,60.5,24.78162958,35.7,110.1,49.8,51.67,17,80,,
8000206,Jordan De Goey,COL,BRI,FWD,MID,11070,78.2,24.71127128,53.5,127.6,55.5,55.5,30,80,,
8000284,Josh Dunkley,BRI,COL,MID,,15960,104.3,27.29423471,77,158.9,113,108,48,80,,
8000264,Lachie Neale,BRI,COL,MID,,15320,98.6,28.18348258,70.4,155,90.6,99.67,28,50,,
8000901,Patrick Lipinski,COL,BRI,MID,,10660,72.9,23.20992574,49.7,119.3,71.6,69.33,27,40,,
8000544,Mason Cox,COL,BRI,RK,FWD,7070,54,20.37320255,33.6,94.7,55,55,29,35,,
8000219,Steele Sidebottom,COL,BRI,MID,,12940,83.8,24.4515963,59.3,132.7,89.8,93.67,24,30,,
8000798,Harry Perryman,COL,BRI,DEF,MID,10350,71.8,20.62475145,51.2,113,70.8,71.67,32,25,,
8000714,Oscar McInerney,BRI,COL,RK,,12240,86.6,22.75846841,63.8,132.1,78.75,76.67,32,20,,
8001873,Ned Long,COL,BRI,MID,,10250,67.5,23.80882807,43.7,115.1,65.4,69,13,20,,
8001388,Isaac Quaynor,COL,BRI,DEF,,7390,55.4,18.40915011,37,92.2,52.4,47.33,14,15,,
8000926,Brody Mihocek,COL,BRI,FWD,,8290,58.4,21.04189144,37.4,100.5,53,56,10,15,,
8000205,Jack Crisp,COL,BRI,MID,DEF,11410,74.3,22.68262743,51.6,119.7,82.4,78,32,15,,
8000730,Jamie Elliott,COL,BRI,FWD,,9260,60.6,21.88651508,38.7,104.4,60.6,62,8,10,,
8001371,Noah Answerth,BRI,COL,DEF,,8830,60.7,20.39371678,40.3,101.5,58.2,56.33,11,10,,
8000706,Jarrod Berry,BRI,COL,MID,,12790,84.3,23.21464163,61.1,130.7,90.2,76.33,26,10,,
8000130,Sam Day,BRI,COL,FWD,RK,8030,57.6,19.57527486,38,96.8,52,55.67,26,10,,
8000214,Brayden Maynard,COL,BRI,DEF,,8600,59.1,20.70336406,38.4,100.5,57.2,54,9,5,,
8000915,Cam Rayner,BRI,COL,FWD,MID,8970,61.6,19.9732388,41.6,101.5,58.8,66.67,27,5,,
8000082,Will Hoskin-Elliott,COL,BRI,FWD,,8410,53.9,23.99967756,29.9,101.9,55,55,11,5,,
8000713,Hugh McCluggage,BRI,COL,MID,,15220,98.7,23.16915221,75.5,145,104.6,124.33,29,5,,
8000527,Charlie Cameron,BRI,COL,FWD,,8530,58.4,20.82422356,37.6,100,53.33,53.33,8,5,,
8001840,Nick Daicos,COL,BRI,MID,,15980,102.2,25.37147437,76.8,152.9,100.6,116,33,5,,
8000912,Zac Bailey,BRI,COL,MID,FWD,11040,72.6,20.4449546,52.2,113.5,81,87,37,5,,
8000315,Ryan Lester,BRI,COL,DEF,,8800,59.3,20.07759917,39.2,99.5,56.8,44.33,9,0,,
8000217,Scott Pendlebury,COL,BRI,MID,,12650,79.7,24.90914538,54.8,129.5,71.4,90.33,18,0,,
8000609,Eric Hipwood,BRI,COL,FWD,,8150,55.7,20.31474831,35.4,96.3,56.8,58,10,0,,
8001421,Bobby Hill,COL,BRI,FWD,,7850,56.1,18.30515068,37.8,92.7,47.2,47.67,8,0,,
8000729,Josh Daicos,COL,BRI,DEF,,13960,91.2,22.31984442,68.9,135.8,87.2,83,15,0,,
8000303,Harris Andrews,BRI,COL,DEF,,8980,60.1,19.74216591,40.4,99.6,63,67.67,13,0,,
8000318,Daniel McStay,COL,BRI,FWD,RK,9290,61.7,20.78536303,40.9,103.3,70.6,62.33,29,0,,
8000127,Callum Ah Chee,BRI,COL,FWD,,9990,63.8,20.89865032,42.9,105.6,67.6,69,9,0,,
8002274,Will Ashcroft,BRI,COL,MID,,15040,89.9,22.30885297,67.6,134.5,94.6,105.67,27,0,,
8001739,Beau McCreery,COL,BRI,FWD,,7650,53.5,18.50716228,35,90.5,53.8,53.67,10,0,,
8000215,Darcy Moore,COL,BRI,DEF,,7520,48.9,20.34776678,28.6,89.6,57.2,56.33,16,0,,
8002276,Jaspa Fletcher,BRI,COL,DEF,,10840,67.3,19.10939774,48.2,105.5,73.4,82,15,0,,
8001837,Darcy Wilmot,BRI,COL,DEF,,11320,71.6,19.03581611,52.6,109.7,78.2,70.67,14,0,,
8000914,Jack Payne,BRI,COL,DEF,,8110,53.3,19.38819762,33.9,92.1,55.6,64.67,11,0,,
8002427,Logan Morris,BRI,COL,FWD,,8090,56.2,18.310526,37.9,92.8,59.8,66.67,14,0,,
8002284,Edward Allan,COL,BRI,MID,,6240,0,33.58943286,-33.6,67.2,29.5,29.5,0,0,,
8002528,Levi Ashcroft,BRI,COL,MID,,11070,74.1,13.44618905,60.7,101,79.2,79.33,34,0,,
8000843,Billy Frampton,COL,BRI,DEF,,6000,37.3,20.4596889,16.8,78.2,34.5,34.5,2,0,,
