ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2
8000047,Daniel Rioli,GCS,ADE,Start,13570,84.5,22.1083194936728,62.4,128.7,DEF,
8000135,Sean Lemmens,GCS,ADE,Not Named,6400,0,16.883157293108933,-16.9,33.8,DEF,
8000142,Touk Miller,GCS,ADE,Start,14400,97.5,26.254315378487618,71.2,150,MID,
8000148,Alex Sexton,GCS,ADE,Not Named,8760,0,25.862427514494943,-25.9,51.7,FWD,
8000156,Matt Crouch,ADE,GCS,Not Named,14910,0,24.010818601994565,-24,48,MID,
8000162,Rory Laird,ADE,GCS,Start,15060,96.6,24.427262733647307,72.2,145.5,DEF,
8000168,Wayne Milera,ADE,GCS,Start,9680,64.5,20.76433341633703,43.7,106,DEF,
8000171,Brodie Smith,ADE,GCS,Not Named,9060,0,23.195330122145286,-23.2,46.4,DEF,
8000175,Taylor Walker,ADE,GCS,Start,8620,62.8,27.685507781664803,35.1,118.2,FWD,
8000225,Jarrod Witts,GCS,ADE,Start,14250,94.1,23.554902322174758,70.5,141.2,RK,
8000275,Lachie Weller,GCS,ADE,Start,9470,68.5,19.612889960506905,48.9,107.7,MID,
8000514,Alex Neal-Bullen,ADE,GCS,Start,11970,76.9,21.991923923243043,54.9,120.9,FWD,
8000524,Ben Keays,ADE,GCS,Start,13360,85.5,28.020582794805808,57.5,141.5,FWD,
8000525,Brayden Fiorini,GCS,ADE,Not Named,10790,0,29.58627107118158,-29.6,59.2,MID,
8000618,Sam Collins,GCS,ADE,Start,7600,47.4,17.56185083216353,29.8,82.5,DEF,
8000668,Reilly O'Brien,ADE,GCS,Start,12830,92.8,21.29366435399908,71.5,135.4,RK,
8000698,Elliott Himmelberg,GCS,ADE,Not Named,7630,0,18.904442842455673,-18.9,37.8,FWD,RK
8000711,Mitchell Hinge,ADE,GCS,Start,11550,78.5,22.901107203585852,55.6,124.3,DEF,
8000788,Ben Ainsworth,GCS,ADE,Start,10200,66.2,20.934581830500232,45.3,108.1,FWD,
8000795,David Swallow,GCS,ADE,Not Named,6570,0,25.31067629930171,-25.3,50.6,FWD,DEF
8000796,Isaac Cumming,ADE,GCS,Start,9220,61.6,23.60584250443593,38,108.8,MID,DEF
8000866,Ben Long,GCS,ADE,Start,9410,60.5,21.00826473331223,39.5,102.5,FWD,
8000872,Jordan Dawson,ADE,GCS,Start,16230,110.7,25.739653038170854,85,162.2,MID,
8000908,Darcy Fogarty,ADE,GCS,Start,8590,56.5,22.18487918535651,34.3,100.9,FWD,
8000910,Lachlan Murphy,ADE,GCS,Start,8080,53.6,17.264655941401813,36.3,88.1,FWD,
8000948,Charlie Ballard,GCS,ADE,Not Named,6000,0,18.68457800647344,-18.7,37.4,DEF,
8000952,Nick Holman,GCS,ADE,Not Named,8520,0,20.975810369149396,-21,42,FWD,
8000955,Wil Powell,GCS,ADE,Start,9860,69.2,24.5178798579305,44.7,118.2,DEF,
8001364,Jordon Butts,ADE,GCS,Not Named,6660,0,15.367251947971454,-15.4,30.7,DEF,
8001366,Chayce Jones,ADE,GCS,Not Named,9410,0,21.512238319513106,-21.5,43,MID,DEF
8001369,Lachlan Sholl,ADE,GCS,Start,10320,76.5,27.34686437444244,49.2,131.2,MID,
8001370,Kieran Strachan,ADE,GCS,Not Named,8200,0,21.80869201990453,-21.8,43.6,RK,
8001372,Thomas Berry,GCS,ADE,Not Named,6530,0,23.962595436772812,-24,47.9,FWD,
8001386,Mark Keane,ADE,GCS,Start,7990,51.2,19.20403626617738,32,89.6,DEF,
8001410,Chris Burgess,ADE,GCS,Not Named,6280,0,20.772404814365416,-20.8,41.5,FWD,RK
8001412,Caleb Graham,GCS,ADE,Not Named,6000,0,16.608456907275908,-16.6,33.2,DEF,
8001413,Ben King,GCS,ADE,Start,9320,63.4,21.62391864090124,41.8,106.6,FWD,
8001416,Izak Rankine,ADE,GCS,Start,13190,86.1,24.356517511344634,61.7,134.8,MID,
8001490,John Noble,GCS,ADE,Start,11300,77,20.80600878478508,56.2,118.6,DEF,
8001502,Harry Schoenberg,ADE,GCS,Not Named,7900,0,23.34191099167267,-23.3,46.7,FWD,
8001503,Josh Worrell,ADE,GCS,Start,10960,72.6,18.060871400837108,54.5,108.7,DEF,
8001535,Noah Anderson,GCS,ADE,Start,16250,104.9,26.209152533988295,78.7,157.3,MID,
8001536,Connor Budarick,GCS,ADE,Start,9920,61.1,21.018061053993936,40.1,103.1,MID,DEF
8001538,Jy Farrar,GCS,ADE,Not Named,6000,0,22.243106645124495,-22.2,44.5,DEF,
8001539,Sam Flanders,GCS,ADE,Start,14990,99.9,35.51458634856563,64.4,170.9,MID,FWD
8001541,Malcolm Rosas,GCS,ADE,Not Named,7380,0,19.96393212417298,-20,39.9,FWD,
8001542,Matt Rowell,GCS,ADE,Start,15560,97.1,26.095915241691056,71,149.3,MID,
8001720,Sam Berry,ADE,GCS,Not Named,10670,0,23.954465471809225,-24,47.9,MID,
8001721,James Borlase,ADE,GCS,Start,6000,45.3,23.469940247859498,21.8,92.2,DEF,
8001722,Brayden Cook,ADE,GCS,Not Named,6000,0,16.205763808805205,-16.2,32.4,FWD,DEF
8001724,Luke Pedlar,ADE,GCS,Not Named,6730,0,21.72886739250161,-21.7,43.5,FWD,
8001726,Riley Thilthorpe,ADE,GCS,Start,11460,70.6,21.00843986245874,49.6,112.6,FWD,RK
8001758,Alex Davies,GCS,ADE,Not Named,9720,0,18.29143550690393,-18.3,36.6,MID,FWD
8001761,Joel Jeffrey,GCS,ADE,Start,9620,67.7,23.303100282121704,44.4,114.3,DEF,
8001807,Nick Murray,ADE,GCS,Not Named,7680,0,19.39626026533728,-19.4,38.8,DEF,
8001817,Ned Moyle,GCS,ADE,Not Named,10670,0,22.70805045695371,-22.7,45.4,RK,
8001818,James Peatling,ADE,GCS,Start,10560,77,31.722086629694523,45.3,140.4,MID,
8001828,Lachlan McAndrew,ADE,GCS,Not Named,6000,0,33.94112549695428,-33.9,67.9,RK,
8001831,Luke Nankervis,ADE,GCS,Start,10170,63.4,16.30545165345592,47.1,96,DEF,MID
8001832,Josh Rachele,ADE,GCS,Not Named,10130,0,22.124415745124683,-22.1,44.2,FWD,
8001833,Jake Soligo,ADE,GCS,Start,13910,89.1,24.23287978919601,64.9,137.6,MID,
8001834,Zac Taylor,ADE,GCS,Not Named,6280,0,30.80358925695366,-30.8,61.6,MID,
