Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000040,MID,Kamdyn McIntosh,Richmond,Hawthorn,9090,70.71,62.67,CONFIRMED IN TEAM TO PLAY,59,5
8000047,DEF,Daniel Rioli,Gold Coast SUNS,Brisbane Lions,12260,74.17,63.67,CONFIRMED IN TEAM TO PLAY,62,1
8000050,DEF,Nick Vlastuin,Richmond,Hawthorn,12770,80,98,CONFIRMED IN TEAM TO PLAY,79,5
8000059,FWD,Jesse Hogan,GWS GIANTS,Sydney Swans,12860,74.25,76.33,CONFIRMED IN TEAM TO PLAY,46,1
8000080,FWD,Toby Greene,GWS GIANTS,Sydney Swans,12060,86.57,69.33,CONFIRMED IN TEAM TO PLAY,45,6
8000097,MID,Callan Ward,GWS GIANTS,Sydney Swans,9630,54.86,62.67,CONFIRMED IN TEAM TO PLAY,81,8
8000098,DEF,Lachie Whitfield,GWS GIANTS,Sydney Swans,17110,116.43,115.33,CONFIRMED IN TEAM TO PLAY,107,7
8000127,FWD,Callum Ah Chee,Brisbane Lions,Gold Coast SUNS,9470,58.43,55.67,CONFIRMED IN TEAM TO PLAY,66,1
8000130,FWD,Sam Day,Brisbane Lions,Gold Coast SUNS,8050,54.67,59.33,CONFIRMED IN TEAM TO PLAY,18,7
8000130,RK,Sam Day,Brisbane Lions,Gold Coast SUNS,8050,54.67,59.33,CONFIRMED IN TEAM TO PLAY,18,7
8000137,FWD,Tom Lynch,Richmond,Hawthorn,7130,50.83,59,CONFIRMED IN TEAM TO PLAY,34,10
8000142,MID,Touk Miller,Gold Coast SUNS,Brisbane Lions,14280,93.5,88.33,CONFIRMED IN TEAM TO PLAY,106,3
8000211,RK,Brodie Grundy,Sydney Swans,GWS GIANTS,12950,84.57,87.67,CONFIRMED IN TEAM TO PLAY,60,34
8000225,RK,Jarrod Witts,Gold Coast SUNS,Brisbane Lions,14260,91.83,83.67,CONFIRMED IN TEAM TO PLAY,75,2
8000230,MID,Isaac Heeney,Sydney Swans,GWS GIANTS,14650,85.57,87,CONFIRMED IN TEAM TO PLAY,86,5
