Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000058,MID,James Harmes,Western Bulldogs,Fremantle,10700,64.33,64.33,CONFIRMED IN TEAM TO PLAY,103,2
8000059,FWD,Jesse Hogan,GWS GIANTS,West Coast Eagles,13110,68,68,CONFIRMED IN TEAM TO PLAY,117,19
8000080,FWD,Toby Greene,GWS GIANTS,West Coast Eagles,12620,91.67,91.67,CONFIRMED IN TEAM TO PLAY,123,18
8000084,MID,Josh Kelly,GWS GIANTS,West Coast Eagles,14800,98.33,98.33,CONFIRMED IN TEAM TO PLAY,98,18
8000086,DEF,Rory Lobb,Western Bulldogs,Fremantle,9810,49.67,49.67,CONFIRMED IN TEAM TO PLAY,63,1
8000097,MID,Callan Ward,GWS GIANTS,West Coast Eagles,10160,49,49,CONFIRMED IN TEAM TO PLAY,49,4
8000098,DEF,Lachie Whitfield,GWS GIANTS,West Coast Eagles,17170,110,110,CONFIRMED IN TEAM TO PLAY,139,8
8000234,MID,Zak Jones,St Kilda,Port Adelaide,10900,72,72,CONFIRMED IN TEAM TO PLAY,30,1
8000288,MID,Tom Liberatore,Western Bulldogs,Fremantle,15270,119.67,119.67,CONFIRMED IN TEAM TO PLAY,96,16
8000289,MID,Jack Macrae,St Kilda,Port Adelaide,15940,125,125,CONFIRMED IN TEAM TO PLAY,84,17
8000297,FWD,Jake Stringer,GWS GIANTS,West Coast Eagles,10080,54,54,CONFIRMED IN TEAM TO PLAY,42,8
8000297,MID,Jake Stringer,GWS GIANTS,West Coast Eagles,10080,54,54,CONFIRMED IN TEAM TO PLAY,42,8
8000301,DEF,Alex Pearce,Fremantle,Western Bulldogs,6000,43,43,CONFIRMED IN TEAM TO PLAY,48,1
8000331,FWD,Jamie Cripps,West Coast Eagles,GWS GIANTS,9030,58,58,CONFIRMED IN TEAM TO PLAY,54,1
