Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
8000086,DEF,Rory Lobb,Western Bulldogs,St Kilda,9640,58.4,65,CONFIRMED IN TEAM TO PLAY
8000094,MID,Jack Steele,St Kilda,Western Bulldogs,14830,90.33,90.33,CONFIRMED IN TEAM TO PLAY
8000234,MID,Zak Jones,St Kilda,Western Bulldogs,8850,54.6,42.67,NAMED AS EMERGENCY RESERVE
8000278,MID,Marcus Bontempelli,Western Bulldogs,St Kilda,15770,0,0,CONFIRMED IN TEAM TO PLAY
8000286,DEF,Jason Johannisen,Western Bulldogs,St Kilda,11960,31,31,CONFIRMED IN TEAM TO PLAY
8000288,MID,Tom Liberatore,Western Bulldogs,St Kilda,15240,108,107.67,CONFIRMED IN TEAM TO PLAY
8000289,MID,Jack Macrae,St Kilda,Western Bulldogs,15190,103.6,85.33,CONFIRMED IN TEAM TO PLAY
8000399,DEF,Jack Sinclair,St Kilda,Western Bulldogs,16400,107.8,111.67,CONFIRMED IN TEAM TO PLAY
8000399,MID,Jack Sinclair,St Kilda,Western Bulldogs,16400,107.8,111.67,CONFIRMED IN TEAM TO PLAY
8000402,DEF,Jimmy Webster,St Kilda,Western Bulldogs,8000,41.8,42,CONFIRMED IN TEAM TO PLAY
8000536,DEF,Bailey Dale,Western Bulldogs,St Kilda,13880,83.6,72.67,CONFIRMED IN TEAM TO PLAY
8000542,FWD,Mason Wood,St Kilda,Western Bulldogs,11540,83.4,73,CONFIRMED IN TEAM TO PLAY
8000542,MID,Mason Wood,St Kilda,Western Bulldogs,11540,83.4,73,CONFIRMED IN TEAM TO PLAY
8000547,MID,Bradley Hill,St Kilda,Western Bulldogs,9290,58.2,72.33,CONFIRMED IN TEAM TO PLAY
8000554,DEF,Liam Jones,Western Bulldogs,St Kilda,6000,40.33,40.33,CONFIRMED IN TEAM TO PLAY
8000597,MID,Bailey Williams,Western Bulldogs,St Kilda,10910,69.8,72.33,CONFIRMED IN TEAM TO PLAY
8000597,DEF,Bailey Williams,Western Bulldogs,St Kilda,10910,69.8,72.33,CONFIRMED IN TEAM TO PLAY
8000621,MID,Matthew Kennedy,Western Bulldogs,St Kilda,12900,88.6,92.67,CONFIRMED IN TEAM TO PLAY
8000867,RK,Rowan Marshall,St Kilda,Western Bulldogs,16160,94.8,89.33,CONFIRMED IN TEAM TO PLAY
