Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %
8000004,MID,Patrick Cripps,Carlton,Western Bulldogs,15440,95,95,CONFIRMED IN TEAM TO PLAY,80,22
8000005,FWD,Charlie Curnow,Carlton,Western Bulldogs,9980,16,16,CONFIRMED IN TEAM TO PLAY,64,19
8000007,MID,Sam Docherty,Carlton,Western Bulldogs,11980,63,63,CONFIRMED IN TEAM TO PLAY,76,36
8000007,DEF,Sam Docherty,Carlton,Western Bulldogs,11980,63,63,CONFIRMED IN TEAM TO PLAY,76,36
8000022,DEF,Jacob Weitering,Carlton,Western Bulldogs,9730,72.5,72.5,CONFIRMED IN TEAM TO PLAY,63,16
8000058,MID,James Harmes,Western Bulldogs,Carlton,9270,52.5,52.5,CONFIRMED IN TEAM TO PLAY,88,11
8000086,DEF,Rory Lobb,Western Bulldogs,Carlton,9580,48.5,48.5,CONFIRMED IN TEAM TO PLAY,52,4
8000099,FWD,Zac Williams,Carlton,Western Bulldogs,8010,48,48,CONFIRMED IN TEAM TO PLAY,20,8
8000147,DEF,Adam Saad,Carlton,Western Bulldogs,10430,63.5,63.5,CONFIRMED IN TEAM TO PLAY,79,9
8000167,DEF,Mitch McGovern,Carlton,Western Bulldogs,9410,50,50,CONFIRMED IN TEAM TO PLAY,49,7
8000231,MID,George Hewett,Carlton,Western Bulldogs,14780,110.5,110.5,CONFIRMED IN TEAM TO PLAY,116,40
8000288,MID,Tom Liberatore,Western Bulldogs,Carlton,15420,108.5,108.5,CONFIRMED IN TEAM TO PLAY,142,32
8000379,MID,Blake Acres,Carlton,Western Bulldogs,12630,63,63,CONFIRMED IN TEAM TO PLAY,64,12
8000536,DEF,Bailey Dale,Western Bulldogs,Carlton,14490,100,100,CONFIRMED IN TEAM TO PLAY,63,23
8000537,DEF,Nick Haynes,Carlton,Western Bulldogs,9860,51,51,CONFIRMED IN TEAM TO PLAY,89,5
8000554,DEF,Liam Jones,Western Bulldogs,Carlton,7510,0,0,CONFIRMED IN TEAM TO PLAY,38,6
8000597,DEF,Bailey Williams,Western Bulldogs,Carlton,10000,66,66,CONFIRMED IN TEAM TO PLAY,83,17
8000621,MID,Matthew Kennedy,Western Bulldogs,Carlton,12720,82.5,82.5,CONFIRMED IN TEAM TO PLAY,94,25
8000637,FWD,Jack Silvagni,Carlton,Western Bulldogs,10070,78,78,CONFIRMED IN TEAM TO PLAY,75,22
8000637,DEF,Jack Silvagni,Carlton,Western Bulldogs,10070,78,78,CONFIRMED IN TEAM TO PLAY,75,22
8000899,RK,Tim English,Western Bulldogs,Carlton,14850,87,87,CONFIRMED IN TEAM TO PLAY,99,21
8000906,DEF,Lewis Young,Carlton,Western Bulldogs,7720,44,44,CONFIRMED IN TEAM TO PLAY,66,12
8000906,RK,Lewis Young,Carlton,Western Bulldogs,7720,44,44,CONFIRMED IN TEAM TO PLAY,66,12
8000918,RK,Tom De Koning,Carlton,Western Bulldogs,15490,119.5,119.5,CONFIRMED IN TEAM TO PLAY,130,49
8000936,MID,Adam Cerra,Carlton,Western Bulldogs,13360,98.5,98.5,CONFIRMED IN TEAM TO PLAY,83,37
8000945,FWD,Lachie Fogarty,Carlton,Western Bulldogs,7100,42.5,42.5,CONFIRMED IN TEAM TO PLAY,59,13
8000945,MID,Lachie Fogarty,Carlton,Western Bulldogs,7100,42.5,42.5,CONFIRMED IN TEAM TO PLAY,59,13
8000968,MID,Oskar Baker,Western Bulldogs,Carlton,8030,11,11,CONFIRMED IN TEAM TO PLAY,59,15
8001013,FWD,Aaron Naughton,Western Bulldogs,Carlton,9120,61,61,CONFIRMED IN TEAM TO PLAY,47,13
8001015,MID,Ed Richards,Western Bulldogs,Carlton,13420,93.5,93.5,CONFIRMED IN TEAM TO PLAY,89,44
8001378,FWD,Matthew Cottrell,Carlton,Western Bulldogs,7980,68,68,CONFIRMED IN TEAM TO PLAY,53,24
8001384,MID,Sam Walsh,Carlton,Western Bulldogs,15060,91.5,91.5,CONFIRMED IN TEAM TO PLAY,80,24
8001480,DEF,Buku Khamis,Western Bulldogs,Carlton,7450,57,57,CONFIRMED IN TEAM TO PLAY,59,15
8001483,FWD,Laitham Vandermeer,Western Bulldogs,Carlton,6750,67,67,CONFIRMED IN TEAM TO PLAY,38,34
8001484,FWD,Rhylee West,Western Bulldogs,Carlton,8740,49,49,CONFIRMED IN TEAM TO PLAY,42,7
8001509,FWD,Brodie Kemp,Carlton,Western Bulldogs,7330,30.5,30.5,CONFIRMED IN TEAM TO PLAY,104,9
8001532,FWD,Francis Evans,Carlton,Western Bulldogs,6000,26,26,CONFIRMED IN TEAM TO PLAY,21,3
8001802,FWD,Lachlan McNeil,Western Bulldogs,Carlton,6330,35.5,35.5,CONFIRMED IN TEAM TO PLAY,56,8
8001805,DEF,Lachlan Bramble,Western Bulldogs,Carlton,9850,48.5,48.5,CONFIRMED IN TEAM TO PLAY,60,4
8001812,DEF,Jordan Boyd,Carlton,Western Bulldogs,8560,0,0,NAMED AS EMERGENCY RESERVE,37,1
8001839,FWD,Jesse Motlop,Carlton,Western Bulldogs,6220,63,63,CONFIRMED IN TEAM TO PLAY,51,29
8001913,FWD,Sam Darcy,Western Bulldogs,Carlton,11940,82.5,82.5,CONFIRMED IN TEAM TO PLAY,99,43
8001913,RK,Sam Darcy,Western Bulldogs,Carlton,11940,82.5,82.5,CONFIRMED IN TEAM TO PLAY,99,43
8002280,DEF,Lachlan Cowan,Carlton,Western Bulldogs,9160,60.5,60.5,CONFIRMED IN TEAM TO PLAY,61,7
8002281,DEF,Oliver Hollands,Carlton,Western Bulldogs,10890,60,60,CONFIRMED IN TEAM TO PLAY,52,9
8002363,DEF,Harvey Gallagher,Western Bulldogs,Carlton,8090,62.5,62.5,CONFIRMED IN TEAM TO PLAY,35,41
8002363,MID,Harvey Gallagher,Western Bulldogs,Carlton,8090,62.5,62.5,CONFIRMED IN TEAM TO PLAY,35,41
8002364,DEF,James O'Donnell,Western Bulldogs,Carlton,6600,32,32,CONFIRMED IN TEAM TO PLAY,64,4
8002483,MID,Joel Freijah,Western Bulldogs,Carlton,12070,89,89,CONFIRMED IN TEAM TO PLAY,63,36
8002483,DEF,Joel Freijah,Western Bulldogs,Carlton,12070,89,89,CONFIRMED IN TEAM TO PLAY,63,36
8002485,MID,Ryley Sanders,Western Bulldogs,Carlton,9660,70.5,70.5,CONFIRMED IN TEAM TO PLAY,73,43
8002595,MID,Sam Davidson,Western Bulldogs,Carlton,7860,56.5,56.5,CONFIRMED IN TEAM TO PLAY,125,42
8002595,FWD,Sam Davidson,Western Bulldogs,Carlton,7860,56.5,56.5,CONFIRMED IN TEAM TO PLAY,125,42
8002596,FWD,Josh Dolan,Western Bulldogs,Carlton,6000,25,25,NAMED AS EMERGENCY RESERVE,22,0
