ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date
7001523,Thomas Bryant,IND,NYK,ESTIMATED STARTER,8410,26.6,10.64,16,47.9,C,,11022025
7022297,Jaren Jackson,MEM,PHX,ESTIMATED STARTER,15790,47.2,18.88,28.3,85,C,PF,11022025
7022532,Ja Morant,MEM,PHX,ESTIMATED STARTER,15090,45.1,18.04,27.1,81.2,PG,,11022025
7000911,Joel Embiid,PHI,TOR,STARTER,20310,60.6,24.24,36.4,109.1,C,,11022025
7022807,Quentin Grimes,PHI,TOR,,9290,26.6,10.64,16,47.9,SG,SF,11022025
7022686,Obi Toppin,IND,NYK,,7390,20.6,8.24,12.4,37.1,PF,C,11022025
7000905,Paul George,PHI,TOR,STARTER,13090,36.2,14.48,21.7,65.2,SF,SG,11022025
7022812,Cade Cunningham,DET,CHI,ESTIMATED STARTER,21770,60,24,36,108,PG,,11022025
7001531,Royce O'Neale,PHX,MEM,,9620,26.4,10.56,15.8,47.5,SF,PF,11022025
7001210,Kevin Durant,PHX,MEM,ESTIMATED STARTER,17120,46.8,18.72,28.1,84.2,PF,,11022025
7022717,Immanuel Quickley,TOR,PHI,STARTER,12990,35.5,14.2,21.3,63.9,PG,,11022025
7001353,Devin Booker,PHX,MEM,ESTIMATED STARTER,18130,49.4,19.76,29.6,88.9,SG,,11022025
7022704,Tyrese Haliburton,IND,NYK,ESTIMATED STARTER,15730,42.4,16.96,25.4,76.3,PG,,11022025
7023147,GG Jackson,MEM,PHX,,7090,19.1,7.64,11.5,34.4,PF,SF,11022025
7000858,Tobias Harris,DET,CHI,ESTIMATED STARTER,12020,32.2,12.88,19.3,58,PF,SF,11022025
7001550,Josh Hart,NYK,IND,ESTIMATED STARTER,15070,40.3,16.12,24.2,72.5,SF,PF,11022025
7022676,Desmond Bane,MEM,PHX,ESTIMATED STARTER,15110,40.3,16.12,24.2,72.5,SG,SF,11022025
7001367,Karl-Anthony Towns,NYK,IND,ESTIMATED STARTER,19580,52,20.8,31.2,93.6,C,,11022025
7001432,Malik Beasley,DET,CHI,,10100,26.8,10.72,16.1,48.2,SG,SF,11022025
7022853,Josh Giddey,CHI,DET,ESTIMATED STARTER,13960,37,14.8,22.2,66.6,SG,PG,11022025
7000855,Nikola Vucevic,CHI,DET,ESTIMATED STARTER,16150,42.8,17.12,25.7,77,C,,11022025
7022707,Tre Jones,CHI,DET,,6130,16.2,6.48,9.7,29.2,PG,,11022025
7022714,Isaiah Stewart,DET,CHI,,7210,18.9,7.56,11.3,34,C,PF,11022025
7022985,Jalen Duren,DET,CHI,ESTIMATED STARTER,14760,38.1,15.24,22.9,68.6,C,,11022025
7022328,Grayson Allen,PHX,MEM,GAME TIME DECISION,10310,26.6,10.64,16,47.9,SG,SF,11022025
7022332,Jalen Brunson,NYK,IND,ESTIMATED STARTER,18110,46.7,18.68,28,84.1,PG,,11022025
7001000,Mason Plumlee,PHX,MEM,,7310,18.8,7.52,11.3,33.8,C,,11022025
7022808,Scottie Barnes,TOR,PHI,STARTER,18130,46.6,18.64,28,83.9,SF,PG,11022025
7022506,Coby White,CHI,DET,ESTIMATED STARTER,12640,32.4,12.96,19.4,58.3,PG,,11022025
7023101,Gradey Dick,TOR,PHI,STARTER,9610,24.6,9.84,14.8,44.3,SG,SF,11022025
7022335,Mikal Bridges,NYK,IND,ESTIMATED STARTER,11950,30.4,12.16,18.2,54.7,SF,SG,11022025
7001366,Tyus Jones,PHX,MEM,ESTIMATED STARTER,9990,25.3,10.12,15.2,45.5,PG,,11022025
7022816,Ayo Dosunmu,CHI,DET,ESTIMATED STARTER,10610,26.8,10.72,16.1,48.2,SG,SF,11022025
7001049,Tim Hardaway,DET,CHI,ESTIMATED STARTER,7790,19.6,7.84,11.8,35.3,SG,SF,11022025
7022549,Brandon Clarke,MEM,PHX,,7440,18.7,7.48,11.2,33.7,PF,C,11022025
7023310,Jonathan Mogbo,TOR,PHI,STARTER,11280,28,11.2,16.8,50.4,PF,C,11022025
7022679,Patrick Williams,CHI,DET,,8410,20.8,8.32,12.5,37.4,PF,,11022025
7022713,Nick Richards,PHX,MEM,ESTIMATED STARTER,9620,23.7,9.48,14.2,42.7,C,,11022025
7001313,Kelly Oubre,PHI,TOR,STARTER,13380,32.6,13.04,19.6,58.7,SF,PF,11022025
7022982,Andrew Nembhard,IND,NYK,ESTIMATED STARTER,10090,24.5,9.8,14.7,44.1,SG,,11022025
7022805,Miles McBride,NYK,IND,,7390,17.9,7.16,10.7,32.2,PG,SG,11022025
7001528,Chris Boucher,TOR,PHI,,7330,17.7,7.08,10.6,31.9,PF,C,11022025
7022839,Santi Aldama,MEM,PHX,,10750,25.7,10.28,15.4,46.3,PF,C,11022025
7022703,Jalen Smith,CHI,DET,,9100,21.5,8.6,12.9,38.7,PF,C,11022025
7022677,Aaron Nesmith,IND,NYK,,6370,15,6,9,27,SF,SG,11022025
7022993,Ochai Agbaji,TOR,PHI,STARTER,8600,20.2,8.08,12.1,36.4,SG,SF,11022025
7022998,Vince Williams,MEM,PHX,,6000,14,5.6,8.4,25.2,SG,SF,11022025
7022681,Tyrese Maxey,PHI,TOR,STARTER,20660,47.9,19.16,28.7,86.2,PG,,11022025
7022847,Jared Butler,PHI,TOR,,6000,13.9,5.56,8.3,25,SG,PG,11022025
7023264,Zach Edey,MEM,PHX,ESTIMATED STARTER,10590,24.3,9.72,14.6,43.7,C,,11022025
7023102,Ausar Thompson,DET,CHI,ESTIMATED STARTER,10910,25,10,15,45,SF,SG,11022025
7022300,Kevin Huerter,CHI,DET,,6290,14.4,5.76,8.6,25.9,SG,SF,11022025
