ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date,
7022535,Bol Bol,PHX,HOU,ESTIMATED STARTER,6000,34.3,13.72,20.6,61.7,PF,,12022025,
7023257,Rob Dillingham,MIN,MIL,,6000,23.5,9.4,14.1,42.3,PG,SG,12022025,
7022809,Dalano Banton,POR,DEN,,6380,22.9,9.16,13.7,41.2,SF,SG,12022025,
7001138,Alec Burks,MIA,OKC,ESTIMATED STARTER,6000,21.1,8.44,12.7,38,SG,,12022025,
7022992,Ryan Rollins,MIL,MIN,ESTIMATED STARTER,6000,19.3,7.72,11.6,34.7,PG,,12022025,
7001037,Al Horford,BOS,SAS,STARTER,8410,26.5,10.6,15.9,47.7,C,PF,12022025,
7023310,Jonathan Mogbo,TOR,CLE,ESTIMATED STARTER,8610,27.1,10.84,16.3,48.8,PF,C,12022025,
7022959,AJ Green,MIL,MIN,,6000,18.6,7.44,11.2,33.5,SG,,12022025,
7023031,Dominick Barlow,ATL,NYK,,6000,18,7.2,10.8,32.4,SF,PF,12022025,
7022345,Robert Williams,POR,DEN,GAME TIME DECISION,7880,23.6,9.44,14.2,42.5,C,,12022025,
7023004,Karlo Matkovic,NOP,SAC,,7570,22.4,8.96,13.4,40.3,PF,,12022025,
7022855,Alperen Sengun,HOU,PHX,ESTIMATED STARTER,16530,48.9,19.56,29.3,88,C,,12022025,
7022504,Darius Garland,CLE,TOR,STARTER,14840,43.4,17.36,26,78.1,PG,,12022025,
7022881,Jordan Goodwin,LAL,UTA,,9340,27.3,10.92,16.4,49.1,PG,,12022025,
7022532,Ja Morant,MEM,LAC,ESTIMATED STARTER,15090,44.1,17.64,26.5,79.4,PG,,12022025,
7022540,Nickeil Alexander-Walker,MIN,MIL,ESTIMATED STARTER,8290,24.2,9.68,14.5,43.6,SG,PG,12022025,
7023286,Justin Edwards,PHI,BKN,ESTIMATED STARTER,7850,22.9,9.16,13.7,41.2,SG,SF,12022025,
7000801,Kawhi Leonard,LAC,MEM,ESTIMATED STARTER,13730,40,16,24,72,SF,PF,12022025,
